Neighbourhood,NID,BCS,CCS,DineSafe,FemFertil,HealthProviders,PremMort,StudentNutrition
L'Amoreaux,117,63.64,63.56,9,43.27044025,88,163.4,1735
Tam O'Shanter-Sullivan,118,63.78,64.07,5,49.68461912,59,158.8,1055
Wexford/Maryvale,119,63.17,62.21,14,50.9202454,64,196.6,189
Clairlea-Birchmount,120,61.52,64.64,4,50.92682927,12,281.3,2169
Oakridge,121,57.49,60.59,0,60.49886621,7,288.1,645
Birchcliffe-Cliffside,122,59.42,67.73,1,39.26342072,23,318.1,425
Cliffcrest,123,59.84,64.98,0,38.40682788,8,258.9,197
Kennedy Park,124,56.89,59.03,1,48.33702882,17,256.9,1295
Ionview,125,55.62,60.39,1,52.56769374,15,232.9,420
Dorset Park,126,58.71,59.91,10,57.77088182,31,196,1188
Bendale,127,59.19,62.08,14,57.58287653,84,204.7,1645
Agincourt South-Malvern West,128,61.83,62.68,21,42.1021553,75,156.1,350
Agincourt North,129,65.87,64.22,9,42.26002941,20,138.7,500
Milliken,130,67.02,64.82,74,42.19229861,137,120,0
Rouge,131,64.72,66.77,15,48.04214723,25,215.7,0
Malvern,132,60.42,62.57,13,51.56400717,84,205.9,2512
Centennial Scarborough,133,69.54,70.78,0,36.41364136,5,150.8,0
Highland Creek,134,68.28,64.19,1,32.01219512,8,170.1,0
Morningside,135,59.36,61.65,5,53.64758698,32,246.4,2125
West Hill,136,58,61.5,1,48.36601307,33,248.9,1725
Woburn,137,56.83,60.67,6,55.62849502,93,187.8,5690
Eglinton East,138,56.7,59.1,8,53.68682684,19,214.7,1005
Scarborough Village,139,54.67,59.76,4,55.69514238,24,239.2,2157
Guildwood,140,64.99,71.48,0,31.79723502,7,188.6,150
